number,name,name_object,date,author,address,district,protection_category,base,note,lat,lon
6028,Монастырь Троице-Сергиева пустынь,Трапезная,1834; 1930-е (перестройка),арх. Макаров А.П.,"пос. Стрельна, восточнее Настоятельского корпуса",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6029,Монастырь Троице-Сергиева пустынь,Церковь Преподобного Сергия Радонежского,1853-1859; 1930-е (перестройка),арх. Горностаев А.М.,"пос. Стрельна, восточнее Трапезной",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6030,Монастырь Троице-Сергиева пустынь,Церковь Святителя Григория Богослова,1855-1857,арх. Штакеншнейдер А.И.,"пос. Стрельна, восточнее церкви Преподобного Сергия Радонежского",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.853356,30.033797
6031,Монастырь Троице-Сергиева пустынь,Часовня Рудненской Божией Матери (фундамент),1876; 1940-е (разрушена),,"пос. Стрельна, восточнее церкви Святителя Григория Богослова",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6032,Монастырь Троице-Сергиева пустынь,Башня угловая,1756-1763; 19 в.,арх. Трезини П.А.,"пос. Стрельна, западнее Настоятельского корпуса",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6033,Монастырь Троице-Сергиева пустынь,Церковь Воскресения Христова (фундамент),1873-1884; 1968 (разрушена),арх. Парланд А.А.,"пос. Стрельна, севернее Братского корпуса",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6034,Монастырь Троице-Сергиева пустынь,Пруды (четыре),18-19 вв.,,"пос. Стрельна, севернее и восточнее монастыря",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6035,Монастырь Троице-Сергиева пустынь,Сад,1756-1763; 19 в.,арх. Трезини П.А.,"пос. Стрельна, севернее и восточнее монастыря",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6036,Монастырь Троице-Сергиева пустынь,Церковь Покрова Пресвятой Богородицы (фундамент),1844-1863; 1960-е (разрушена),"арх. Кузьмин Р.И., арх. Боссе Г.Э.","пос. Стрельна, северо-восточнее Братского корпуса",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6037,Монастырь Троице-Сергиева пустынь,Часовня Николаевых (фундамент и цоколь),19 в. 2-я пол.; 1940 (разрушена),,"пос. Стрельна, северо-восточнее Братского корпуса",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6038,Монастырь Троице-Сергиева пустынь,Канал Петровский с прудом,1722,,"пос. Стрельна, северо-восточнее монастыря",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6039,Монастырь Троице-Сергиева пустынь,Кладбище,18 в.-20 в.нач.,,"пос. Стрельна, северо-восточнее монастыря",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6040,Монастырь Троице-Сергиева пустынь,Ризница и усыпальница Мятлевых (фундаменты),1859; 1930-е-1940-е (разрушены),,"пос. Стрельна, юго-восточнее церкви Преподобного Сергия Радонежского",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6041,Монастырь Троице-Сергиева пустынь,Мост-плотина,18 в.,,"пос. Стрельна, юго-западнее угловой башни, на осушенном пруду",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6042,Монастырь Троице-Сергиева пустынь,"Надгробие (усыпальница) Чичерина П.А. (1808-1872), генерала и членов его семьи",,,"пос. Стрельна, юго-западнее угловой башни, на осушенном пруду",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6043,,"Братская могила героев-красногвардейцев, погибших при наступлении банд Юденича в 1919 г.",,,"пос. Стрельна, Санкт-Петербургское шоссе, 15",Петродворцовый,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 757 от 24.10.1977,,,
6044,,Жилой дом,20 в. нач.,не установлен,"пос. Стрельна, Санкт-Петербургское шоссе, 38",Петродворцовый,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6045,,Дача (с территорией),19 в. кон. - 20 в. нач.; 1990-е (разрушена),,"пос. Стрельна, Санкт-Петербургское шоссе, 56-а",Петродворцовый,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 608 от 16.07.1990,,,
6046,,Дача Сидорова (с территорией),19 в. кон.,,"пос. Стрельна, Санкт-Петербургское шоссе, 58",Петродворцовый,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 608 от 16.07.1990,,,
6047,,Почтовая станция,1784-1785; 1830; 1952-1953 (реставрация),арх. Руска Л.И.; арх. Шарлемань И.И. 1-й; арх. Уствольская Н.М.,"пос. Стрельна, Санкт-Петербургское шоссе, 66",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6048,Почтовая станция,Ограда,1784-1785; 1830; 1952-1953 (реставрация),арх. Руска Л.И.; арх. Шарлемань И.И.,"пос. Стрельна, Санкт-Петербургское шоссе, 66",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6049,Почтовая станция,Сарай,1784-1785; 1830; 1952-1953 (реставрация),арх. Руска Л.И.; арх. Шарлемань И.И.,"пос. Стрельна, Санкт-Петербургское шоссе, 66",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6050,Почтовая станция,Ямская и службы,1784-1785; 1830; 1952-1953 (реставрация),арх. Руска Л.И.; арх. Шарлемань И.И.,"пос. Стрельна, Санкт-Петербургское шоссе, 66",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6051,Почтовая станция,Главное здание,1784-1785; 1830; 1952-1953 (реставрация),арх. Руска Л.И.; арх. Шарлемань И.И.,"пос. Стрельна. Санкт-Петербургское шоссе, 66",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6052,,Дача Александрова П.К. (Львовский дворец),,,"пос. Стрельна, Санкт-Петербургское шоссе, 69, Нижняя дорога",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6053,Дача Александрова П.К. (Львовский дворец),Парк с гидросистемой (три пруда),19 в.,,"пос. Стрельна, Нижняя дорога",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6054,Дача Александрова П.К. (Львовский дворец),Дворец Львовский,1838; 1950-е (восстановление),арх. Кольман А.К.,"пос. Стрельна, Санкт-Петербургское шоссе, 69",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6055,Дача Александрова П.К. (Львовский дворец),Ледник,19 в.,,"пос. Стрельна, Санкт-Петербургское шоссе, 69",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6056,,Дача Орлова А.Ф.,,,"пос. Стрельна, Санкт-Петербургское шоссе, 78, Фронтовая ул., 2",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6057,Дача Орлова А.Ф.,Парк Орловский с островом на Орловском пруду,1835-1840-е,арх. Садовников П.С.,"пос. Стрельна, Орловский парк",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6058,Дача Орлова А.Ф.,"Ворота ""Готические""",1835-1846,арх. Садовников П.С.,"пос. Стрельна, Санкт-Петербургское шоссе, 78",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6059,Дача Орлова А.Ф.,Дом привратника,1950-е (воссоздание),арх. Садовников П.С.,"пос. Стрельна, Санкт-Петербургское шоссе, 78",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6060,Дача Орлова А.Ф.,Конюшенный двор,1880-е,,"пос. Стрельна, Фронтовая ул., 2, корп. 1, 2, 3, 4, 9, 10, 11",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6061,Конюшенный двор,Ворота,1880-е; 1950-е (воссоздание),,"пос. Стрельна, Орловский парк, Конюшенный двор",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6062,Конюшенный двор,Ледник,19 в.; 1950-е (восстановление),,"пос. Стрельна, Орловский парк, Конюшенный двор",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6063,Конюшенный двор,Конюшня,1880-е; 1950-е (восстановление),,"пос. Стрельна, Фронтовая ул., 2, корп. 1",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6064,Конюшенный двор,Оранжерея (Центральный павильон),1888; 1950-е (восстановление),,"пос. Стрельна, Фронтовая ул., 2, корп. 10",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6065,Конюшенный двор,Оранжерея (Восточный павильон),1888; 1950-е (восстановление),,"пос. Стрельна, Фронтовая ул., 2, корп. 11",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6066,Конюшенный двор,Конюшня,1880-е; 1950-е (восстановление),,"пос. Стрельна, Фронтовая ул., 2, корп. 2",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6067,Конюшенный двор,Кузница,1830-е-1840-е; 1880-е;1950-е (восстановление),,"пос. Стрельна, Фронтовая ул., 2, корп. 3",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6068,Конюшенный двор,Здание с ионическим портиком,19 в.1-я треть; 1950 (восстановлено),,"пос. Стрельна, Фронтовая ул., 2, корп. 4",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6069,Конюшенный двор,Оранжерея (Западный павильон),1888; 1950-е (восстановление),,"пос. Стрельна, Фронтовая ул., 2, корп. 9",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6070,Дача Орлова А.Ф.,Два постамента от скульптуры (конных групп),1830-х 2-я пол.,,"пос. Стрельна, восточная часть Орловского парка",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6071,Дача Орлова А.Ф.,Пруд с островом,19 в. 1-я пол.,,"пос. Стрельна, западная часть Орловского парка",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6072,Дача Орлова А.Ф.,Мост Туфовый,1835-1846,арх. Садовников П.С.,"пос. Стрельна, через протоку между парком и островом",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6073,Дача Орлова А.Ф.,Башня-руина с земляным пандусом,1835-1846,арх. Соколов П.С.,"пос. Стрельна, юго-западная часть Орловского парка",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6074,Дача Орлова А.Ф.,Грот,835-1846,арх. Садовников П.С.,"пос. Стрельна, юго-западная часть Орловского парка",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6075,Дача Орлова А.Ф.,"Колодец ""Готический""",1835-1846,арх. Садовников П.С.,"пос. Стрельна, юго-западная часть Орловского парка",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6076,Дача Орлова А.Ф.,Пограничный земляной вал и ров,1840-е,,"пос. Стрельна, южная граница Орловского парка",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6077,Дача Орлова А.Ф.,"""Парнас""",1840-е,,"пос. Стрельна, южная часть Орловского парка",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6078,Дача Орлова А.Ф.,Пруд,19 в. 1-я пол.,,"пос. Стрельна, южная часть Орловского парка",Петродворцовый,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,,
6079,,Казармы лейб-гвардейского Стрелкового артиллерийского дивизиона,19 в. кон.-20 в. нач.,автор не установлен,"пос. Стрельна, Санкт-Петербургское шоссе, 82а, 84а",Петродворцовый,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.852524,30.036591
6080,,"Имение А.Д. Меншикова “Фаворит” (фрагмент исторической территории с элементами рельефа, планировки, дамбой-пристанью, плотиной  Верхнего пруда, фундаментами дворца, флигелей и оранжерей)",1710-х кон.-1720-е,арх. И.Ф. Браунштейн(?),"пос. Стрельна, Санкт-Петербургское шоссе, к северо-востоку от пересечения с ул. Крылова",Петродворцовый,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6081,"Имение А.Д. Меншикова “Фаворит” (фрагмент исторической территории с элементами рельефа, планировки, дамбой-пристанью, плотиной  Верхнего пруда, фундаментами дворца, флигелей и оранжерей)",Фундамент оранжереи,1710-х кон.-1720-е,арх. И.Ф. Браунштейн(?),"пос. Стрельна, Санкт-Петербургское шоссе, к северо-востоку от пересечения с ул. Крылова",Петродворцовый,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6082,"Имение А.Д. Меншикова “Фаворит” (фрагмент исторической территории с элементами рельефа, планировки, дамбой-пристанью, плотиной  Верхнего пруда, фундаментами дворца, флигелей и оранжерей)",Плотина Верхнего пруда,1710-х кон.-1720-е,арх. И.Ф. Браунштейн(?),"пос. Стрельна, Санкт-Петербургское шоссе, к северо-востоку от пересечения с ул. Крылова",Петродворцовый,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6083,"Имение А.Д. Меншикова “Фаворит” (фрагмент исторической территории с элементами рельефа, планировки, дамбой-пристанью, плотиной  Верхнего пруда, фундаментами дворца, флигелей и оранжерей)",Фундаменты флигелей,1710-х кон.-1720-е,арх. И.Ф. Браунштейн(?),"пос. Стрельна, Санкт-Петербургское шоссе, к северо-востоку от пересечения с ул. Крылова",Петродворцовый,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6084,"Имение А.Д. Меншикова “Фаворит” (фрагмент исторической территории с элементами рельефа, планировки, дамбой-пристанью, плотиной  Верхнего пруда, фундаментами дворца, флигелей и оранжерей)",Дамба-пристань,1710-х кон.-1720-е,арх. И.Ф. Браунштейн(?),"пос. Стрельна, Санкт-Петербургское шоссе, к северо-востоку от пересечения с ул. Крылова",Петродворцовый,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6085,"Имение А.Д. Меншикова “Фаворит” (фрагмент исторической территории с элементами рельефа, планировки, дамбой-пристанью, плотиной  Верхнего пруда, фундаментами дворца, флигелей и оранжерей)",Фундамент дворца,1710-х кон.-1720-е,арх. И.Ф. Браунштейн(?),"пос. Стрельна, Санкт-Петербургское шоссе, к северо-востоку от пересечения с ул. Крылова",Петродворцовый,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6086,,Казарма 3-й Гвардейской и Гренадерской артиллерийской бригады,1840-е,,"пос. Стрельна, Фронтовая ул., 3",Петродворцовый,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 608 от 16.07.1990,,,
6087,,Церковь Великомученика Димитрия Солунского,1906,арх. Всеславин А.А.,"1-я Никитинская ул., 1",Приморский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,60.015327,30.297677
6088,,Часовня благоверного князя Александра Невского,1885,арх. Пирвиц Ф.К.,"1-я Никитинская ул., на углу Земледельческой ул.",Приморский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,60.016959,30.291578
6089,,"Дача Салтыковых, в том числе: дача, четыре служебных корпуса, ограда с воротами, сад",19 в.,,"Академика Крылова ул., 4; Савушкина ул., 2, 4, 6, 8, 10; Приморский пр., 3",Приморский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,,
6090,"Дача Салтыковых, в том числе: дача, четыре служебных корпуса, ограда с воротами, сад",Дача,1837-1843,"арх. Садовников П.С., арх. Боссе Г.Э.","Академика Крылова ул., 4",Приморский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,,
6091,"Дача Салтыковых, в том числе: дача, четыре служебных корпуса, ограда с воротами, сад",Ограда с воротами,1837 - нач. 1840-х,арх. Садовников П.С.,"Академика Крылова ул., 4; Приморский пр., 3; Савушкина ул., 2",Приморский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,,
6092,"Дача Салтыковых, в том числе: дача, четыре служебных корпуса, ограда с воротами, сад",Сад,1837 - нач. 1840-х,арх. Садовников П.С.,"Академика Крылова ул., 4; Приморский пр., 3; Савушкина ул., 2",Приморский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,,
6093,"Дача Салтыковых, в том числе: дача, четыре служебных корпуса, ограда с воротами, сад",Ограда по Приморскому пр/,сер. 20 в.,арх. Садовников П.С.,"Академика Крылова ул., 4; Приморский пр., 3; Савушкина ул., 2",Приморский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,,
6094,"Дача Салтыковых, в том числе: дача, четыре служебных корпуса, ограда с воротами, сад",Четыре служебных корпуса,нач. 1840-х,"арх. Садовников П.С., арх. Боссе Г.Э.","Савушкина ул., 4, 6, 8, 10",Приморский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,,
6095,,Здание Мариинского приюта Общества призрения калек и идиотов несовершеннолетнего возраста,1903-1906,арх. В.В. Суслов,"Аккуратова ул., 11 (корпус ""Производственные мастерские"")",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6096,,Каменная подпорная стенка на берегу Финского залива,кон. 19 - нач. 20 в.,автор не установлен,"Вдоль южной границы участков: Безымянный пер., 18, 20; Морская ул., 13, 15",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6097,,Дача Головина,,,"Выборгская наб., 63",Приморский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.980898,30.32036
6098,Дача Головина,Дача,1823-1824,арх. Шарлемань Л.И.,"Выборгская наб., 63",Приморский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.980898,30.32036
6099,Дача Головина,Сад,1770-е,,"Выборгская наб., 63",Приморский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.980898,30.32036
6100,,Усадьба Орловых-Денисовых,19 в.,арх. Горностаев А.М.,"Главная ул., 32",Приморский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,60.020476,30.290607
6101,Усадьба Орловых-Денисовых,Парк с прудами,2-я четв. 19 в.,арх. Горностаев А.М.,"Главная ул., 32",Приморский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,60.020476,30.290607
6102,Усадьба Орловых-Денисовых,Дом жилой,1839-1841,арх. Горностаев А.М.,"Главная ул., 32",Приморский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,60.020476,30.290607
6103,Усадьба Орловых-Денисовых,Плотина,2-я четв. 19 в.,арх. Горностаев А.М.,"Главная ул., 32",Приморский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,60.020476,30.290607
6104,,Дача Козинцевых (деревянная 2-этажная),1890-е,автор не установлен,"Колодезная ул., 31 (Ольгино)",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.996965,30.136475
6105,,Дом Граббе,нач. 20 в.,,"Коломяги, 3-я линия 2-я половина, 2",Приморский,Объект культурного наследия регионального значения,Закон Санкт-Петербурга № 174-27 от 05.07.1999,,,
6106,,"Место, где 27 января 1837 г. состоялась дуэль поэта Пушкина А.С. с Дантесом Э.","1937 (обелиск), 1962","ск. Манизер М.Г., арх. Лапиров А.И.","Коломяжский пр., сквер у ж.д. ст. ""Новая деревня""",Приморский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,60.003246,30.297713
6107,,Дача Лобановых (деревянная 2-этажная),нач. 20 в.,автор не установлен,"Коммунаров ул., 8 (Ольгино)",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,60.002692,30.146976
6108,,Административное здание завода К.К. Экваля,1901-1902,"арх. Лидваль Ф.И., арх. Беляев С.В.","Красногвардейский пер., 15-17",Приморский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,,
6109,,Административное здание абразивного завода Н.Н. Струка,1898; 1902,арх. Пирвиц Ф.Ф; арх. Беме А.Г.,"Красногвардейский пер., 21-23",Приморский,Объект культурного наследия регионального значения,Решение Малого Совета Санкт-Петербургского горсовета № 327 от 07.09.1993,,,
6110,,Комплекс машиностроительного завода Н.Н. Струка,1878-1905,"арх. Ф.К. Пирвиц, техн. М.И. фон Вилькен","Красногвардейский пер., 23",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6111,Комплекс машиностроительного завода Н.Н. Струка,Особняк Н.Н. Струка,1899-1905,арх. Ф.К. Пирвиц,"Красногвардейский пер., 23",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6112,Комплекс машиностроительного завода Н.Н. Струка,Производственное здание,1878-1895,техн. М.И. фон Вилькен,"Красногвардейский пер., 23",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6113,,Здание приюта и богадельни Николаевского православного братства,1879-1882; 1900-1901 (расширение),арх. П.Ю. Сюзор; арх. Н.Ф. Беккер,"Красногвардейский пер., 8",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6114,,Усадебный комплекс Стенбок-Ферморов,кон. 19 - нач. 20 в.,"арх. В.П. Цейдлер (?), ск. Г.О. Ботта, худ. Волховский (интерьеры)","Лахтинский пр., 100, 104 (Лахта)",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6115,Усадебный комплекс Стенбок-Ферморов,Каменная рига,кон. 19 - нач. 20 в.,арх. В.П. Цейдлер (?),"Лахтинский пр., 100 (Лахта)",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6116,Усадебный комплекс Стенбок-Ферморов,"Усадебный дом (""Белый замок"")",1892,"арх. В.П. Цейдлер (?), ск. Г.О. Ботта, худ. Волховский (интерьеры)","Лахтинский пр., 104 (Лахта)",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6117,Усадебный комплекс Стенбок-Ферморов,Пилоны въездных ворот,кон. 19 в. (перестроены),арх. В.П. Цейдлер (?),"Лахтинский пр., 104 (Лахта)",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6118,Усадебный комплекс Стенбок-Ферморов,"Парк (со старовозрастными насаждениями ценных пород, историческими аллеями)",кон. 19 - нач. 20 в.,арх. В.П. Цейдлер (?),"Лахтинский пр., 104 (Лахта)",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6119,Усадебный комплекс Стенбок-Ферморов,Гидросистема,кон. 19 - нач. 20 в.,арх. В.П. Цейдлер (?),"Лахтинский пр., 104 (Лахта)",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6120,,Электростанция с водонапорной башней мызы Стенбок-Ферморов (мызы Лахта),1902,автор не установлен,"Лахтинский пр., 85 (Лахта)",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6121,,Церковь Апостола Петра,1893-1894,"арх. Шауб В.В., Шауб В.И.","Лахтинский пр., 94",Приморский,Объект культурного наследия федерального значения,Постановление Правительства РФ № 527 от 10.07.2001,,59.99202,30.146572
6122,,Дом В.В. Шауба,1911-1913,арх.  В.В. Шауб,"Лахтинский пр., д. 115 , лит. А",Приморский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-243 от 10.06.2016,,,
6123,,Здание церковно-приходской школы и приюта церкви Апостола Петра,1894,"архитекторы В.И.(?) Шауб, В.В.(?) Шауб","Лахтинский проспект,  98, литера А",Приморский,Объект культурного наследия регионального значения,Распоряжение КГИОП № 10-547 от 03.09.2014,,,
6124,,"Братское захоронение воинов Советской Армии, погибших в годы Великой Отечественной войны 1941-1945 гг.",,,Лахтинское кладбище,Приморский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 328 от 03.05.1976,,,
6125,,Дача,1910,арх. Вайтенс А.П.,"Лесная ул., 21",Приморский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 963 от 05.12.1988,,,
6126,,Дача,1910,арх. Вайтенс А.П.,"Лесная ул., 23",Приморский,Объект культурного наследия регионального значения,Решение исполкома Ленгорсовета № 963 от 05.12.1988,,,
6127,,Особняк и доходный дом А. К. Леммериха (со службами),1909-1910,инж.-техн. А.К. Леммерих,"Приморский пр., 14",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6128,,Здание богадельни им. Т. С. Полежаевой,1900-1901,гражд. инж. И.И. Носалевич,"Приморский пр., 22",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6129,,Петровский яхт-клуб (в 19 веке - дача Алсуфьевых),1-я пол. 19 в. - кон. 19 в.,автор не установлен,"Приморский пр., 50",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,,
6130,Петровский яхт-клуб (в 19 веке - дача Алсуфьевых),Здание яхт-клуба,нач. 20 в.,автор не установлен,"Приморский пр., 50",Приморский,Выявленный объект культурного наследия,Приказ председателя КГИОП № 15 от 20.02.2001,,59.982379,30.239682
